ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Efe ama namata, boko sawi hekamematamonaha.",efe	ama	na	-mata	boko_sawi	hi-	ka-	ka	-ma	-himata	-mona	-ha,this.M	be	AUX.NOM.M	-FP.N.M	king_vulture(M)	OC-	COMIT-	come	-back	-FP.N.M	-REP.M	-DUP,He was the one who a king vulture brought.,,WORD_ALIGNED
a2,Faya awa boni me yoyome nawaha tohemetemoneke fahi awa boni sinari me boto nabone mati.,faya	awa	boni	me	yo-	yome	na	-waha	to-	ha	-hemete	-mone	-ke	fahi	awa	boni	sina	-ri	me	boto	na	-habone	mati,so	tree(F)	fruit.F	3PL.S	DUP-	swallow	AUX	-change	CH-	AUX	-FP.N.F	-REP.F	-DECL.F	then	tree(F)	fruit.F	be_sweet	-PN	3PL.S	eat	AUX	-INT.F	3PL.S,They ate fruits. They ate sweet fruits.,,WORD_ALIGNED
a3,"Faya bowi me ka hikane, bowi me ka hikane ra yome nematamonaka me hekanakosahari.",faya	bowi	me	kaa	hi-	ka-	ne	bowi	me	kaa	hi-	ka-	ne	ra	yome	na	-himata	-mona	-ka	me	hi-	ka-	kana	-kosa	-haari,so	tree.sp(M)	3PL.S	chop	OC-	COMIT-	AUX.M	tree.sp(M)	3PL.S	chop	OC-	COMIT-	AUX.M	O	swallow	AUX	-FP.N.M	-REP.M	-DECL.M	3PL.S	OC-	COMIT-	leave	-middle	-IP.E.M,They cut down a bowi tree with fruits. He was eating the fruits of the bowi tree that they had cut down.,,WORD_ALIGNED
a4,Me ye kawahemetemone bowi me ka kana mati.,me	yee	ka-	na	-waha	-hemete	-mone	bowi	me	kaa	ka-	na	mati,3PL.S	yell	COMIT-	AUX	-change	-FP.N.F	-REP.F	tree.sp(M)	3PL.S	chop	COMIT-	AUX.F	3PL.S,They yelled when they cut the bowi tree down.,,WORD_ALIGNED
a5,Me ye kawahemetemone ahi.,me	yee	ka-	na	-waha	-hemete	-mone	ahi,3PL.S	yell	COMIT-	AUX	-change	-FP.N.F	-REP.F	then,They yelled.,,WORD_ALIGNED
a6,Yee me ati nemetemone me amani ahi.,yee	me	ati	na	-hemete	-mone	me	ama	-ni	ahi,yee	3PL.S	say	AUX	-FP.N.F	-REP.F	3PL.S	SEC	-BKG.F	then,"They said, ""Yee.""",,WORD_ALIGNED
a7,Bowi tokasonematamonane.,bowi	to-	ka-	sona	-himata	-mona	-ne,tree.sp(M)	CH-	COMIT-	fall	-FP.N.M	-REP.M	-BKG.M,The bowi tree fell.,,WORD_ALIGNED
a8,Faya me ye kawaha me fanawi ya me taba me boto hinematamona ahi.,faya	me	yee	ka-	na	-waha	me	fanawi	ya	me	taba	me	boto	hi-	na	-himata	-mona	ahi,so	3PL.S	yell	COMIT-	AUX	-change.F	3PL	women	ADJU	3PL.S	be_together.F	3PL.S	eat	OC-	AUX	-FP.N.M	-REP.M	then,"They yelled. Along with the women, they ate the fruits.",,WORD_ALIGNED
a9,Me boto hinematamonaka ahi.,me	boto	hi-	na	-himata	-mona	-ka	ahi,3PL.S	eat	OC-	AUX	-FP.N.M	-REP.M	-DECL.M	then,They ate them.,,WORD_ALIGNED
a10,"Me boto hine, Yama boto ni eeto raba ra me boto nine nini.",me	boto	hi-	ne	yama	boto	ni	e-	eheto	raba	ra	me	boto	na	-ne	ni	-ni,3PL.S	eat	OC-	AUX.M	thing(F)	be_eaten	AUX.NFIN	DUP-	be_good	a_bit	NEG.F	3PL.S	eat	AUX	-CONT.F	AUX.NOM.F	-IP.N.F,"They ate them. ""They are eating fruits that are really good to eat.""",,WORD_ALIGNED
a11,Yama boto ni eeto raba ra te boto nine nini.,yama	boto	ni	e-	eheto	raba	ra	tee	boto	na	-ne	ni	-ni,thing(F)	be_eaten	AUX.NFIN	DUP-	be_good	a_bit	NEG.F	2PL.S	eat	AUX	-CONT.F	AUX.NOM.F	-IP.N.F,"""You are eating fruits that are really good to eat.""",,WORD_ALIGNED
a12,Te tai toama.,tee	tai	to-	ha	-ma,2PL.S	be_ahead	CH-	AUX	-back,"""You go on ahead.""",,WORD_ALIGNED
a13,Te tai toama.,tee	tai	to-	ha	-ma,2PL.S	be_ahead	CH-	AUX	-back,"""You go on ahead.""",,WORD_ALIGNED
a14,Yama boto omatibe.,yama	boto	o-	-mata	-be,thing(F)	eat	1SG.S-	-short_time	-IMMED.F,"""I'm going to eat more fruits.""",,WORD_ALIGNED
a15,Yama boto omatibeya.,yama	boto	o-	-mata	-be	-ya,thing(F)	eat	1SG.S-	-short_time	-IMMED.F	-now,"""I'm going to eat more fruits.""",,WORD_ALIGNED
a16,"Te tai toamahi, hiwa yokohibana.",tee	tai	to-	ha	-ma	-hi	hiwa	yoko	-hibana,2PL.S	be_ahead	CH-	AUX	-back	-IMP.F	3SG.REFL.M	bring_misfortune_on	-FUT.M,"""You go on ahead."" He brought misfortune on himself.",,WORD_ALIGNED
a17,Boko sawi amare boko sawi hiwa tonihe hekamematamonane inamati.,boko_sawi	ama	-re	boko_sawi	hiwa	to-	nihe	hi-	ka-	ka	-ma	-himata	-mona	-ne	inamati,king_vulture(M)	be	-NEG.M	king_vulture(M)	3SG.REFL.M	CH-	CAUS.M	OC-	COMIT-	come	-back	-FP.N.M	-REP.M	-BKG.M	spirit(M),"A spirit, who was not a king vulture, turned himself into a vulture, and brought him.",,WORD_ALIGNED
a18,Inamati inamatimatamonaka.,inamati	inamati	-mata	-mona	-ka,spirit(M)	spirit(M)	-FP.N.M	-REP.M	-DECL.M,He was a spirit.,,WORD_ALIGNED
a19,Yama fawa tonakosi ya towitakose bowi yabahari.,yama	fawa	to-	na	-kosi	ya	to-	ita	-kose	bowi	yaba	-haari,thing(F)	disappear	CH-	AUX	-middle.NOM.F	ADJU	CH-	sit	-middle.M	tree.sp(M)	pick_up	-IP.E.M,"After everyone left, he was left alone, picking up the bowi fruits.",,WORD_ALIGNED
a20,Yama boto ni eeto raba ra me katoma me tokomine ati nebona ni ya fotokimatamonane.,yama	boto	ni	e-	eheto	raba	ra	me	katoma	me	to-	ka	-ma	-ne	ati	na	-hibona	ni	ya	foto	-ki	-himata	-mona	-ne,thing(F)	be_eaten	AUX.NFIN	DUP-	be_good	a_bit	NEG.F	3PL.S	damage.F	3PL.S	away-	go	-back	-CONT.F	say	AUX	-INT.M	to	ADJU	appear	-coming	-FP.N.M	-REP.M	-BKG.M,"He was about to say, ""They left lots of good fruits on the ground when they left,"" when he came to where he was.",,WORD_ALIGNED
a21,"Aa, himata ebe?",aa	himata	ebe,(pause)	what?	purpose,"""What are you doing?""",,WORD_ALIGNED
a22,Himata ebe ori.,himata	ebe	o-	-ri,what?	purpose	1SG.S-	-NEG.NOM.F,"""What do you mean, what am I doing?""",,WORD_ALIGNED
a23,Yama boni me hikatoma boni boto one o.,yama	boni	me	hi-	katoma	boni	boto	o-	-ne	o,thing(F)	fruit.F	3PL.S	OC-	damage.F	fruit.F	eat	1SG.S-	-CONT.F	1SG.S,"""I'm eating the fruits that they knocked on the ground.""",,WORD_ALIGNED
a24,Yama boni nawahateha te katomine nini.,yama	boni	nawaha	-teeha	tee	katoma	-ne	ni	-ni,thing(F)	fruit.F	take_a_long_time	-HAB.F	2PL.S	damage	-CONT.F	AUX.NOM.F	-IP.N.F,"""I took a long time to make the fruits, and you destroyed them.""",,WORD_ALIGNED
a25,Te katomine nini.,tee	katoma	-ne	ni	-ni,2PL.S	damage	-CONT.F	AUX.NOM.F	-IP.N.F,"""You destroyed them.""",,WORD_ALIGNED
a26,Otaboro tiwamata.,o-	taboro	ti-	awa	-mata,1SG.POSS-	place	2SG.S-	see	-short_time,"""See my place.""",,WORD_ALIGNED
a27,Titaboro owa.,ti-	taboro	o-	awa,2SG.POSS-	place	1SG.S-	see,"""I don't want to see your place.""",,WORD_ALIGNED
a28,E okariya.,ee	o-	ka-	-ra	-yahi,yell	1SG.S-	COMIT-	-NEG	-DIST.IMP.F,"""I don't want to cry out with fear.""",,WORD_ALIGNED
a29,E tikaraba tiwa awine tini.,ee	ti-	ka-	-ra	-haba	tiwa	awine	ti-	ni,yell	2SG.S-	COMIT-	-NEG	-FUT.F	2SG.S	seem.F	2SG.S-	BKG.F,"""You won't cry out.""",,WORD_ALIGNED
