ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Me tokomemetemoneke, bato ya.",me	to-	ka	-ma	-hemete	-mone	-ke	bato	ya,3PL.S	away-	go	-back	-FP.N.F	-REP.F	-DECL.F	downstream(F)	ADJU,They went downstream.,,WORD_ALIGNED
a2,"Yobe me hiri na, yobe me hiri na, yama me yete nemetemoneke.",yobe	me	hiri	na	yobe	me	hiri	na	yama	me	yete	na	-hemete	-mone	-ke,house(M)	3PL.S	make	AUX.F	house(M)	3PL.S	make	AUX.F	thing(F)	3PL.S	hunt	AUX	-FP.N.F	-REP.F	-DECL.F,"They built a house. They built a house, and then went hunting.",,WORD_ALIGNED
a3,"Yama me yete na wafa me me kobo nemetemoneke, wafa mera fora nebanoho.",yama	me	yete	na	wafa	me	me	kobo	na	-hemete	-mone	-ke	wafa	mera	fora	na	-hiba	-no	-ho,thing(F)	3PL.S	hunt	AUX.F	woolly_monkey(M)	3PL.O	3PL.S	meet	AUX	-FP.N.F	-REP.F	-DECL.F	woolly_monkey(M)	3PL.O	shoot_with_blowgun	AUX	-FUT.M	-IP.N.M	-DUP,"As they were hunting, they saw some woolly monkeys, and shot at them with blowguns.",,WORD_ALIGNED
a4,Wafa me abaremetemoneke.,wafa	me	ahaba	-ra	-hemete	-mone	-ke,woolly_monkey(M)	3PL.S	die	-NEG	-FP.N.F	-REP.F	-DECL.F,No monkeys died.,,WORD_ALIGNED
a5,Wafa biti oharimatamonaka hekamahari.,wafa	biti	ohari	-himata	-mona	-ka	hi-	ka-	ka	-ma	-haari,woolly_monkey(M)	young.M	be_one	-FP.N.M	-REP.M	-DECL.M	OC-	COMIT-	come	-back	-IP.E.M,He only took home one little monkey.,,WORD_ALIGNED
a6,"Mati yifo afo hikana ya, wafa tokamematamonaka.",mati	yifo	afo	hi-	ka-	na	ya	wafa	toka	-ma	-himata	-mona	-ka,3SG.POSS.mother(F)	fire(F)	light	OC-	COMIT-	AUX.F	ADJU	woolly_monkey(M)	partially_burn	-back	-FP.N.M	-REP.M	-DECL.M,"He burned the hair off the monkey back in the village, in the fire his mother lit.",,WORD_ALIGNED
a7,"Wafa tokame, wafa bobi ne wafa yokematamonane, yifo ya.",wafa	toka	-me	wafa	bobi	ne	wafa	yoka	-himata	-mona	-ne	yifo	ya,woolly_monkey(M)	partially_burn	-back.M	woolly_monkey(M)	slit	AUX.M	woolly_monkey(M)	roast_on_coals	-FP.N.M	-REP.M	-BKG.M	fire(F)	ADJU,"He burned the hair off the monkey, then cut up the monkey, and roasted the monkey on the fire.",,WORD_ALIGNED
a8,"Faya iyawa sire, wafa yamama nimatamonane.",faya	iyawa	sire	wafa	yama	-ma	niha-	-himata	-mona	-ne,so	grated_mash(F)	toast.M	woolly_monkey(M)	remove_from_fire	-DUP	CAUS-	-FP.N.M	-REP.M	-BKG.M,"He toasted some manioc mash, and took the monkey off the fire.",,WORD_ALIGNED
a9,Wafa yamama ni wafa kabawematamonaka wafa amehinoho.,wafa	yama	-ma	niha	wafa	kaba	-waha	-himata	-mona	-ka	wafa	ama	-hino	-ho,woolly_monkey(M)	remove_from_fire	-DUP	CAUS.M	woolly_monkey(M)	eat	-change	-FP.N.M	-REP.M	-DECL.M	woolly_monkey(M)	be_bloody	-IP.N.M	-DUP,"He took the monkey off the fire. Then he ate the monkey, not noticing it still had blood in it.",,WORD_ALIGNED
a10,Bani ame tikabine tini; mati ati nemetemoneni.,bani	ame	ti-	kaba	-ne	ti-	ni	mati	ati	na	-hemete	-mone	-ni,animal(M)	be_bloody.M	2SG.S-	eat	-CONT.F	2SG.S-	BKG.F	3SG.POSS.mother(F)	say	AUX	-FP.N.F	-REP.F	-BKG.F,"""Are you eating bloody meat?"" his mother said.",,WORD_ALIGNED
