ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,Inamati okobi mono kanematamona okominatasine o.,inamati	okobi	mono	ka-	na	-himata	-mona	o-	kamina	-tasa	-ne	o,spirit(M)	my_father(M)	struggle_with	COMIT-	AUX	-FP.N.M	-REP.M	1SG.S-	tell	-again	-CONT.F	1SG.S,"I am telling another story, about when my father fought along with a spirit.",,WORD_ALIGNED
a2,Himata ebe tinaba tiwine tiriya; ati nematamona hinemarine.,himata	ebe	ti-	na	-haba	ti-	waa	-ne	ti-	ri	-ya	ati	na	-himata	-mona	hi-	na	-himari	-ne,what?	purpose	2SG.S-	AUX	-FUT.F	2SG.S-	stand	-CONT.F	2SG.S-	CQ.F	-now	say	AUX	-FP.N.M	-REP.M	OC-	say	-FP.E.M	-BKG.M,"""'Why are you standing there?' he said,"" he said.",,WORD_ALIGNED
a3,Yama me mowa na me owabone okine o.,yama	me	mowa	na	me	o-	awa	-habone	o-	-ki	-ne	o,thing(F)	3PL.S	fight	AUX.F	3PL.O	1SG.S-	see	-INT.F	1SG.S-	-coming	-CONT.F	1SG.S,"""I have come to see them fighting.""",,WORD_ALIGNED
a4,Me tiwibe.,me	ti-	awa	-be,3PL.O	2SG.S-	see	-IMMED.F,"""You will see them.""",,WORD_ALIGNED
a5,Me tiwibe.,me	ti-	awa	-be,3PL.O	2SG.S-	see	-IMMED.F,"""You will see them.""",,WORD_ALIGNED
a6,Me e towamamata.,me	ee	to-	awa	-ma	-mata,3PL.O	1IN.S	away-	see	-back	-short_time,"""Let's go see them.""",,WORD_ALIGNED
a7,Me mowa hinemete wainetini Yima Wa.,me	mowa	hi-	na	-hemete	waa	-ne	-ti	-ni	Yima_Waa,3PL.S	fight	OC-	AUX	-FP.N.F	stand	-CONT.F	-HAB.NOM	-IP.N.F	Yima_Waa(F),"The Yima Wa house, which they fought against, is still there today.",,WORD_ALIGNED
a8,E me na me inamati fito tonehino ra me inamati kiyohemetemone ati nemarine.,ee	me	na	me_inamati	fito	to-	na	-hino	ra	me_inamati	kiyo	-hemete	-mone	ati	na	-himari	-ne,like_this	3PL.S	AUX.F	spirits(F)	rush	CH-	AUX	-IP.N.M	O	spirits(F)	follow	-FP.N.F	-REP.F	say	AUX	-FP.E.M	-BKG.M,"He said that a spirit came out of the house, and other spirits chased him.",,WORD_ALIGNED
a9,Hasi rayaho.,hasi	ra	-yaho,escape	NEG	-DIST.IMP.M,"""Don't let him get away.""",,WORD_ALIGNED
a10,Hasi rayaho me ati nemetemone ahi.,hasi	ra	-yaho	me	ati	na	-hemete	-mone	ahi,escape	NEG	-DIST.IMP.M	3PL.S	say	AUX	-FP.N.F	-REP.F	then,"""Don't let him get away,"" they said.",,WORD_ALIGNED
a11,"Me fitori  tonamakemetemone ahi, ene itibanoho.",me	fito	-ri	to-	na	-make	-hemete	-mone	ahi	ehene	iti	-hiba	-no	-ho,3PL.S	rush	-DISTR	away-	AUX	-following	-FP.N.F	-REP.F	then	victim_of.M	exist	-FUT.M	-IP.N.M	-DUP,"They went running after him, but he killed them.",,WORD_ALIGNED
a12,Me hikiyomatamonaka.,me	hi-	kiyo	-himata	-mona	-ka,3PL.S	OC-	chase	-FP.N.M	-REP.M	-DECL.M,They chased him.,,WORD_ALIGNED
a13,Me hora nemetemone me ka owa nabino rama ahi.,me	hora	na	-hemete	-mone	me	ka	owa	na-	ahaba	-hino	rama	ahi,3PL.S	exclaim	AUX	-FP.N.F	-REP.F	3PL	POSS	companion(M)	CAUS-	die	-IP.N.M	unusual	then,They complained because he killed one of them.,,WORD_ALIGNED
a14,"Kana ni tokematamonaka fari, ene itinoho.",kana	ni	to-	ka	-himata	-mona	-ka	faari	ehene	iti	-hino	-ho,run	AUX.NFIN	away-	go	-FP.N.M	-REP.M	-DECL.M	that_one.M	victim_of.M	exist	-IP.N.M	-DUP,He went running away after killing someone.,,WORD_ALIGNED
a15,Me me kakatoma me yoro nemetemone aati toemarine.,me	me	ka-	katoma	me	yoro	na	-hemete	-mone	a-	ati	to-	ha	-himari	-ne,3PL.O	3PL.S	COMIT-	look_at.F	3PL.S	stand	AUX	-FP.N.F	-REP.F	DUP-	say	CH-	AUX	-FP.E.M	-BKG.M,"The two of them were standing there watching them, he used to say.",,WORD_ALIGNED
a16,"Me yoro na me, Inamati inamati ene iti inamati kaki inamati ati nematamonane.",me	yoro	na	me	inamati	inamati	ehene	iti	inamati	ka	-ki	inamati	ati	na	-himata	-mona	-ne,3PL.S	stand	AUX.F	3PL.S	spirit(M)	spirit(M)	victim_of.M	exist.M	spirit(M)	come	-coming.NOM	spirit(M)	say	AUX	-FP.N.M	-REP.M	-BKG.M,"The two of them were standing there. ""The spirit that killed someone is coming,"" he said.",,WORD_ALIGNED
a17,Okobi yana kabote nematamona amaka ahi.,okobi	yana	kabote	na	-himata	-mona	ama	-ka	ahi,my_father(M)	get_up	quickly	AUX	-FP.N.M	-REP.M	SEC	-DECL.M	then,My father got up quickly.,,WORD_ALIGNED
a18,Me ebe towaka me ebe towaka me kana ni towakemetemone ahi.,me	ebe	to-	ka-	ka	me	ebe	to-	ka-	ka	me	kana	ni	to-	ka-	ka	-hemete	-mone	ahi,3PL.POSS	RECIP	away-	COMIT-	go.F	3PL.POSS	RECIP	away-	COMIT-	go.F	3PL.S	run	AUX.NFIN	away-	COMIT-	go	-FP.N.F	-REP.F	then,He took him. The two of them went running away.,,WORD_ALIGNED
a19,Me ebe tonabowawitemetemoneni.,me	ebe	to-	na-	aboha	-wite	-hemete	-mone	-ni,3PL.POSS	RECIP	away-	CAUS-	die	-out	-FP.N.F	-REP.F	-BKG.F,One killed another.,,WORD_ALIGNED
a20,Ene iti tokome me hekatomematamona.,ehene	iti	to-	ka	-me	me	hi-	ka-	katoma	-himata	-mona,victim_of.M	exist.M	away-	go	-back.M	3PL.S	OC-	COMIT-	look_at	-FP.N.M	-REP.M,"He killed the other one, and went away. They watched him.",,WORD_ALIGNED
a21,"Inamati hehe inamati towakeno awareno, kamabano ya.",inamati	hehe	inamati	to-	ka-	ka	-hino	awa	-ra	-hino	ka	-ma	-ba	-no	ya,spirit(M)	this_one.M	spirit(M)	away-	COMIT-	go	-IP.N.M	be_seen	-NEG	-IP.N.M	come	-back.NOM.M	-FUT	-IP.N.M	ADJU,The spirit came back after taking the other spirit away. They didn't see him doing this.,,WORD_ALIGNED
a22,Inamati ki kawamematamona okobi aati toemarika.,inamati	kii	ka-	-waha	-ma	-himata	-mona	okobi	a-	ati	to-	ha	-himari	-ka,spirit(M)	look_at	COMIT-	-change	-back	-FP.N.M	-REP.M	my_father(M)	DUP-	say	CH-	AUX	-FP.E.M	-DECL.M,My father said that he looked back at the spirit.,,WORD_ALIGNED
a23,Inamati kame okobi ati nematamona.,inamati	ka	-me	o-	ka	abi	ati	na	-himata	-mona,spirit(M)	come	-back.M	1SG.POSS-	POSS	father(M)	say	AUX	-FP.N.M	-REP.M,"""The spirit is coming,"" my father said.",,WORD_ALIGNED
a24,Ki kabote nabisematamonaka ahi.,kii	kabote	na	-bisa	-himata	-mona	-ka	ahi,look	quickly	AUX	-also	-FP.N.M	-REP.M	-DECL.M	then,"He looked, too.",,WORD_ALIGNED
