ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Hahi, tani me hihiri hiematamona.",haahi	tani	me	hi-	hiri	hi-	ha	-himata	-mona,this_one.M	song_about	3PL.S	DUP-	sing	OC-	AUX	-FP.N.M	-REP.M,That's what they were singing about.,,WORD_ALIGNED
a2,"Kona, kona amaka hari kona, ehebote.",kona	kona	ama	-ka	haari	kona	ehebote,plant.sp(M)	plant.sp(M)	be	-DECL.M	that_one.M	plant.sp(M)	big,"It was kona, a big pile.",,WORD_ALIGNED
a3,"Ee, ino fawa ni kekerewe re.",ee	ino	fawa	ni	ke-	kerewe	re,(pause)	name.M	disappear	AUX.NFIN	DUP-	be_slow	NEG.M,His name went away quickly.,,WORD_ALIGNED
a4,"Me te watore Boroko, aya ino hihiri oehirihi, kona tani hiri nematamonaha.",me	tee	wato	-re	Boroko	aya	ino	hi-	hiri	o-	ha	-hiri	-hi	kona	tani	hiri	na	-himata	-mona	-ha,3PL	2PL.S	know	-NEG.M	Boroko(M)	this	name.M	DUP-	say	1SG.S-	AUX	-RP.E.M	-DUP	plant.sp(M)	song_about	sing	AUX	-FP.N.M	-REP.M	-DUP,"Don't you know, Boroko? The one I used to talk about, who sang about kona.",,WORD_ALIGNED
a5,"Aa, Aifa, ee, Aifa.",aa	Aifa	ee	Aifa,oh_yes	Aifa(M)	yes	Aifa(M),"Oh, Aifa. Yes, Aifa.",,WORD_ALIGNED
a6,"Kona, kona me wi nemetemoneke.",kona	kona	me	wii	na	-hemete	-mone	-ke,plant.sp(M)	plant.sp(M)	3PL.S	dig	AUX	-FP.N.F	-REP.F	-DECL.F,They dug up kona.,,WORD_ALIGNED
a7,"Kona me wi na me, kona me, kona me wi na me, kona me baro nabone me yana tonemetemone.",kona	me	wii	na	me	kona	me	kona	me	wii	na	me	kona	me	baro	na	-habone	me	yana	to-	na	-hemete	-mone,plant.sp(M)	3PL.S	dig	AUX.F	3PL.S	plant.sp(M)	3PL	plant.sp(M)	3PL.S	dig	AUX.F	3PL.S	plant.sp(M)	3PL.S	beat	AUX	-INT.F	3PL.S	start	CH-	AUX	-FP.N.F	-REP.F,They dug up kona. They dug up kona. They started out to beat the kona.,,WORD_ALIGNED
a8,Okobi okobi okobi okobi nafirematamonaka.,okobi	okobi	okobi	okobi	nafi	-ra	-himata	-mona	-ka,my_father(M)	my_father(M)	my_father(M)	my_father(M)	be_big	-NEG	-FP.N.M	-REP.M	-DECL.M,My father was small.,,WORD_ALIGNED
a9,"Okobi iisi kabote ne, faya okobi nafire ni ya, Aifa kona wati kanahi, kona wati kanematamonaka.",okobi	i-	isi	kabote	ne	faya	okobi	nafi	-re	ni	ya	Aifa	kona	wati	ka-	nahi	kona	wati	ka-	na	-himata	-mona	-ka,my_father(M)	DUP-	be_small	quickly	AUX.M	so	my_father(M)	be_big	-NEG.M	to	ADJU	Aifa(M)	plant.sp(M)	think_about	COMIT-	AUX.M	plant.sp(M)	think_about	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M,My father was very small. Aifa was thinking about kona.,,WORD_ALIGNED
a10,"Kona me wati kana me, kona me wati kana me, Kona te, kona te baro nibe.",kona	me	wati	ka-	na	me	kona	me	wati	ka-	na	me	kona	tee	kona	tee	baro	na	-be,plant.sp(M)	3PL.S	think_about	COMIT-	AUX.F	3PL.S	plant.sp(M)	3PL.S	think_about	COMIT-	AUX.F	3PL.S	plant.sp(M)	2PL	plant.sp(M)	2PL.S	beat	AUX	-IMMED.F,"They were thinking about kona. ""You beat kona.""",,WORD_ALIGNED
a11,Te tai toahi.,tee	tai	to-	ha	-hi,2PL.S	be_ahead	CH-	AUX	-IMP.F,"""You go on ahead.""",,WORD_ALIGNED
