ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Ati yana namakiemetemoneke, yama ati.",ati	yana	na	-maki	-hemete	-mone	-ke	yama	ati,voice	start	AUX	-following	-FP.N.F	-REP.F	-DECL.F	thing(F)	voice,Its voice started up.,,WORD_ALIGNED
a2,Ati yana namakiemetemonehe.,ati	yana	na	-maki	-hemete	-mone	-he,voice	start	AUX	-following	-FP.N.F	-REP.F	-DUP,Its voice started up.,,WORD_ALIGNED
a3,Hao hao hao hao hao ati nemetemoneke.,hao	hao	hao	hao	hao	ati	na	-hemete	-mone	-ke,(sound_of_barking)	(sound_of_barking)	(sound_of_barking)	(sound_of_barking)	(sound_of_barking)	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""Hao, hao, hao,"" it went.",,WORD_ALIGNED
a4,Okobi ati himitemetemonehe.,okobi	ati	hi-	mita	-hemete	-mone	-he,my_father(M)	voice	OC-	hear	-FP.N.F	-REP.F	-DUP,My father heard its voice.,,WORD_ALIGNED
a5,Kamakiani ati yana namakiemetemoneke.,ka	-maki	-hani	ati	yana	na	-maki	-hemete	-mone	-ke,come	-following	-IP.N.F	voice	start	AUX	-following	-FP.N.F	-REP.F	-DECL.F,"It was coming, and its voice was starting up.",,WORD_ALIGNED
a6,"Heeee ati nemetemonehe, Heeee.",ati	na	-hemete	-mone	-he,say	AUX	-FP.N.F	-REP.F	-DUP,"""Heeee,"" it said.",,WORD_ALIGNED
a7,Yama atinekira.,yama	ati	-ne	-kira,monster(F)	make_noise	-CONT.F	-(?).F,"""It's the sound of a monster.""",,WORD_ALIGNED
a8,Okahabone yama owa kiyohaba awineke.,o-	ka	-habone	yama	owa	kiyo	-haba	awine	-ke,1SG.S-	go	-INT.F	thing(F)	1SG.O	chase	-FUT.F	seem.F	-DECL.F,"""I want to go hunting, but something is chasing me.""",,WORD_ALIGNED
a9,Yama atine.,yama	ati	-ne,monster(F)	make_noise	-CONT.F,"""It's the sound of a monster.""",,WORD_ALIGNED
a10,Ati omitara.,ati	o-	mita	-hara,voice	1SG.S-	hear	-IP.E.F,"""I heard its voice.""",,WORD_ALIGNED
a11,Kana nemetemoneke.,kana	na	-hemete	-mone	-ke,run	AUX	-FP.N.F	-REP.F	-DECL.F,It was running.,,WORD_ALIGNED
a12,Kana ni kamakiemetemone ahi.,kana	ni	ka	-maki	-hemete	-mone	ahi,run	AUX.NFIN	come	-following	-FP.N.F	-REP.F	then,It was coming toward him running.,,WORD_ALIGNED
a13,Rifi ka bara tei namaroke ahi.,rifi	ka	bara	tei	na	-hamaro	-ke	ahi,rifle(F)	POSS	bullet(F)	ten	AUX	-FP.E.F	-DECL.F	then,There were ten bullets for the rifle.,,WORD_ALIGNED
a14,"Aaya aaya hahohohohohoo, hoooooo.",,,,,WORD_ALIGNED
a15,Yara yara me ati owatobisa okere.,yara	yara	me	ati	o-	wato	-bisa	o-	ke	-re,Brazilian	Brazilian	3PL.POSS	voice	1SG.S-	know	-also	1SG.S-	DECL.F	-NEG.F,I don't know how to speak Portuguese.,,WORD_ALIGNED
a16,Yara me ati onofa okere.,yara	me	ati	o-	nofa	o-	ke	-re,Brazilian	3PL.POSS	voice	1SG.S-	like	1SG.S-	DECL.F	-NEG.F,I don't like Portuguese.,,WORD_ALIGNED
