ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Nakiribone, fara amake.",nakiri	-bone	fara	ama	-ke,3SG.POSS.brother's_wife(F)	-INT.F	same.F	be	-DECL.F,"It was her future sister-in-law, that's it.",,WORD_ALIGNED
a2,"Nakiribonehe, nakiribonehe hima nemetemone.",nakiri	-bone	-he	nakiri	-bone	-he	hima	na	-hemete	-mone,3SG.POSS.brother's_wife(F)	-INT.F	-DUP	3SG.POSS.brother's_wife(F)	-INT.F	-DUP	call_to_go	AUX	-FP.N.F	-REP.F,She called her future sister-in-law to go out.,,WORD_ALIGNED
a3,"Nakiribone hima na bi, bimetemoneke bihi bi kowa kowahabonehe, bi kowahabonehe.",nakiri	-bone	hima	na	bihi	bihi	-mete	-mone	-ke	bihi	bihi	kowa	kowa	-habone	-he	bihi	kowa	-habone	-he,3SG.POSS.brother's_wife(F)	-INT.F	call_to_go	AUX.F	palm.sp(F)	palm.sp(F)	-FP.N.F	-REP.F	-DECL.F	palm.sp(F)	palm.sp(F)	weave	be_woven	-INT.F	-DUP	palm.sp(F)	be_woven	-INT.F	-DUP,"She called her future sister-in-law to go out. It was bihi. It was bihi palm leaves, to be woven.",,WORD_ALIGNED
a4,Naki naki e e tabahi.,naki	naki	ee	ee	taba	-hi,brother's_wife(F)	brother's_wife(F)	1IN	1IN.S	be_together	-IMP.F,"""Sister-in-law, let's all go together.""",,WORD_ALIGNED
a5,E tabahi mata.,ee	taba	-hi	mata,1IN.S	be_together	-IMP.F	for_now,"""Let's all go together.""",,WORD_ALIGNED
a6,E tabibeya.,ee	taba	-be	-ya,1IN.S	be_together	-IMMED.F	-now,"""Let's all go together.""",,WORD_ALIGNED
a7,Okomi owa kayawi nofa.,okomi	owa	ka-	yawa	nofa,my_mother(F)	1SG.O	COMIT-	be_upset	recently.F,"""My mother won't let me.""",,WORD_ALIGNED
a8,E tabi ya e abe siwa ni nawahareraba eni.,ee	tabi	ya	ee	abe	siwa	niha	na	-wahare	-ra	-haba	ee	-ni,1IN.S	be_together.NOM.F	ADJU	1IN.POSS	RECIP	play	CAUS	AUX	-all_over	-NEG	-FUT.F	1IN.POSS	-BKG.F,"""Let's go together, we won't play all over.""",,WORD_ALIGNED
a9,Maki me e amakarene.,maki	me	ee	ama	-ka	-re	-ne,male(M)	3PL.COMPL	1IN.S	be	-DECL	-NEG.F	-IRR.F,"""We aren't men.""",,WORD_ALIGNED
a10,Maki me e amarini.,maki	me	ee	ama	-ra	-ni,male(M)	3PL.COMPL	1IN.S	be	-NEG	-BKG.F,"""We aren't men.""",,WORD_ALIGNED
a11,Fana hinama e toharawarake haro.,fana	hinama	ee	to-	ha	-rawa	-hara	-ke	haaro,female(F)	all	1IN.S	CH-	be	-FPL	-IP.E.F	-DECL.F	that_one.F,"""We are all women.""",,WORD_ALIGNED
a12,"E tokomakeharo e tokomake bi e hose naro, bi e hose na bi kakamaro bi okomi hikowarawaba hikowarawabanani.",ee	to-	ka	-make	-haaro	ee	to-	ka	-make	bihi	ee	hose	na	-haaro	bihi	ee	hose	na	bihi	ka-	ka	-ma	-haaro	bihi	okomi	hi-	kowa	-rawa	-haba	hi-	kowa	-rawa	-habana	-ni,1IN.S	away-	go	-following	-PFUT.F	1IN.S	away-	go	-following	palm.sp(F)	1IN.S	pull_out	AUX	-PFUT.F	palm.sp(F)	1IN.S	pull_out	AUX.F	palm.sp(F)	COMIT-	come	-back	-PFUT.F	palm.sp(F)	my_mother(F)	OC-	weave	-FPL	-FUT.F	OC-	weave	-FPL	-FUT.F	-BKG.F,"""When we have gone and picked the bihi leaves and brought back the bihi leaves, my mother and the others will weave them.""",,WORD_ALIGNED
a13,Naki tiwa hima na ati amani.,naki	tiwa	hima	na	ati	ama	-ni,2SG.POSS.brother's_wife(F)	2SG.O	call_to_go	AUX.F	voice	be	-BKG.F,"""Your sister-in-law is calling you to go with her.""",,WORD_ALIGNED
a14,Naki te famahi.,naki	tee	fama	-hi,2SG.POSS.brother's_wife(F)	2PL.S	be_two	-IMP.F,"""Go with your sister-in-law.""",,WORD_ALIGNED
a15,Naki te famahi.,naki	tee	fama	-hi,2SG.POSS.brother's_wife(F)	2PL.S	be_two	-IMP.F,"""Go with your sister-in-law.""",,WORD_ALIGNED
a16,"Naki, naki tiwa hima na ati amani.",naki	naki	tiwa	hima	na	ati	ama	-ni,2SG.POSS.brother's_wife(F)	2SG.POSS.brother's_wife(F)	2SG.O	call_to_go	AUX	voice	be	-BKG.F,"""Your sister-in-law is calling you to go with her.""",,WORD_ALIGNED
a17,Ati tinahabihariyahi.,ati	ti-	naahabiha	-ra	-yahi,voice	2SG.S-	kill	-NEG	-DIST.IMP.F,"""If you don't go, she won't call you anymore.""",,WORD_ALIGNED
