ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,Bai aawa Bai.,bahi	a-	awa	Bahi,sun(M)	DUP-	see	Bahi(M),Bahi looked at the sun.,,WORD_ALIGNED
a2,Hiba.,hiba,wait,"""Wait.""",,WORD_ALIGNED
a3,Bai tokematamonaka.,Bahi	to-	ka	-himata	-mona	-ka,Bahi(M)	away-	go	-FP.N.M	-REP.M	-DECL.M,Bahi went into the forest.,,WORD_ALIGNED
a4,"Toke, tokematamonaka.",to-	ke	to-	ka	-himata	-mona	-ka,away-	go.M	away-	go	-FP.N.M	-REP.M	-DECL.M,He went away.,,WORD_ALIGNED
a5,"Toke toke ya toke ya, toke me, me moni towasiwitibano, hawa me ka nani mati, teo teo.",to-	ke	to-	ke	ya	to-	ke	ya	to-	ke	me	me	moni	to-	wasi	-witi	-hiba	-no	hawa	me	kaa	na	-hani	mati	teo	teo,away-	go.M	away-	go.NOM.M	ADJU	away-	go.NOM.M	ADJU	away-	go.M	3PL	3PL.POSS	sound	away-	find	-out	-FUT.M	-IP.N.M	palm.sp(F)	3PL.S	chop	AUX	-IP.N.F	3PL.S	(sound_of_hitting)	(sound_of_hitting),"He went. Then he came upon the sound of people cutting down a hawa palm, ""Teo, teo.""",,WORD_ALIGNED
a6,"Kokoriba, kokoribanoho, kokoribano, hawa ka nematamona honofene tehenebona honofene.",kokori	-ba	kokori	-ba	-no	-ho	kokori	-ba	-no	hawa	kaa	na	-himata	-mona	honofene	tehene	-bona	honofene,3SG.POSS.father-in-law(M)	-FUT	3SG.POSS.father-in-law(M)	-FUT	-IP.N.M	-DUP	3SG.POSS.father-in-law(M)	-FUT	-IP.N.M	palm.sp(F)	chop	AUX	-FP.N.M	-REP.M	manioc_juice(M)	additive.M	-INT.M	manioc_juice(M),"His future father-in-law was cutting down a hawa palm, to mix the fruits with manioc juice.",,WORD_ALIGNED
a7,"Aba me, aba me waka nemetemoneke oterawaha.",aba	me	aba	me	waka	na	-hemete	-mone	-ke	ote	-rawa	-ha,fish(M)	3PL	fish(M)	3PL.S	be_killed	AUX	-FP.N.F	-REP.F	-DECL.F	fish.sp(F)	-FPL	-DUP,"Fish were killed, ote fish.",,WORD_ALIGNED
a8,"Ote ya, tabasi ya ote warawemetemoneke ahi.",ote	ya	tabasi	ya	ote	waa	-rawa	-hemete	-mone	-ke	ahi,fish.sp(F)	ADJU	makeshift_basket(F)	ADJU	fish.sp(F)	stand	-FPL	-FP.N.F	-REP.F	-DECL.F	then,The ote fish were in the makeshift basket on the ground.,,WORD_ALIGNED
a9,"Aba me me boyo nani me aba me me waka nani me, aba me me waka nani aba me, tabasi ya me ihemetemoneke.",aba	me	me	boyo	na	-hani	me	aba	me	me	waka	na	-hani	me	aba	me	me	waka	na	-hani	aba	me	tabasi	ya	me	iha	-hemete	-mone	-ke,fish(M)	3PL.O	3PL.S	feel	AUX	-IP.N.F	3PL.S	fish(M)	3PL.O	3PL.S	kill	AUX	-IP.N.F	3PL.S	fish(M)	3PL.O	3PL.S	kill	AUX	-IP.N.F	fish(M)	3PL	makeshift_basket(F)	ADJU	3PL.S	be_located	-FP.N.F	-REP.F	-DECL.F,"They had felt for the fish, and they had killed the fish. They were in the makeshift basket.",,WORD_ALIGNED
a10,Haa aba me amani?,haa	aba	me	ama	-ni,huh?	fish(M)	3PL.S	be	-BKG.F,"""Are those fish?""",,WORD_ALIGNED
a11,Aba me amani.,aba	me	ama	-ni,fish(M)	3PL.S	be	-BKG.F,"""They are fish.""",,WORD_ALIGNED
a12,Aba me waka ona me waine.,aba	me	waka	o-	na	me	waa	-ne,fish(M)	3PL.O	kill	1SG.S-	AUX.F	3PL.S	stand	-CONT.F,"""The fish that I killed are in there.""",,WORD_ALIGNED
a13,"Oof, hawa ka okomate, oka yibote ka honofene tehenebonaha.",oof	hawa	kaa	o-	ka-	-mate	o-	ka	yibote	ka	honofene	tehene	-bona	-ha,hoo	palm.sp(F)	chop	1SG.S-	COMIT-	-short_time.IMP.F	1SG.POSS-	POSS	wife(F)	POSS	manioc_juice(M)	additive.M	-INT.M	-DUP,"""Hoo, let me cut down the hawa palm, to add the fruits to my wife's manioc juice.""",,WORD_ALIGNED
a14,Oka yibote ka honofene tehenebona ka okomate mata.,o-	ka	yibote	ka	honofene	tehene	-bona	kaa	o-	ka-	-mate	mata,1SG.POSS-	POSS	wife(F)	POSS	manioc_juice(M)	additive.M	-INT.M	chop	1SG.S-	COMIT-	-short_time.IMP.F	for_now,"""Let me cut down the hawa palm, to add the fruits to my wife's manioc juice.""",,WORD_ALIGNED
a15,"Bari iti toke, tokematamonaka.",bari	iti	to-	ke	to-	ka	-himata	-mona	-ka,ax	pick_up.M	away-	go.M	away-	go	-FP.N.M	-REP.M	-DECL.M,He picked up the ax and went into the forest.,,WORD_ALIGNED
a16,"Hawa ka ne hawa ka ne, Oko koko ka hawa ka okomate.",hawa	kaa	ne	hawa	kaa	ne	o-	ka	koko	ka	hawa	kaa	o-	ka-	-mate,palm.sp(F)	chop	AUX.M	palm.sp(F)	chop	AUX.M	1SG.POSS-	POSS	father-in-law(M)	POSS	palm.sp(F)	chop	1SG.S-	COMIT-	-short_time.IMP.F,"He was cutting down the hawa palm. ""I'm going to cut down my father-in-law's hawa palm.""",,WORD_ALIGNED
a17,Tokomakematamonaka.,to-	ka	-make	-himata	-mona	-ka,away-	go	-following	-FP.N.M	-REP.M	-DECL.M,He went there.,,WORD_ALIGNED
