ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Ee, Awita Fa yafi Awita Fa yafi me ibe kanawasi.",ee	Awita_Faa	yafi	Awita_Faa	yafi	me	ibe	ka-	na-	wasi,(pause)	Awita_Faa	inhabitant_of	Awita_Faa	inhabitant_of	3PL.POSS	RECIP	COMIT-	CAUS-	get_caught.LIST,The people of Awita Fa put spells on each other.,"Awita is a species of fish, so Awita Fa means `Awita Stream'.",WORD_ALIGNED
a2,Hawa onakamakimatibe.,hawa	o-	na-	ka	-maki	-mata	-be,palm.sp(F)	1SG.S-	CAUS-	go	-following	-short_time	-IMMED.F,"""I'm going after hawa fruits.""",,WORD_ALIGNED
a3,Fowa fene tikawariya.,fowa	fehene	ti-	ka-	waa	-ri	-yahi,manioc(M)	juice.M	2SG.S-	COMIT-	cook	-raised_surface	-DIST.IMP.F,"""Boil some manioc juice.""",,WORD_ALIGNED
a4,"Faya tokomake, tabasi tabasi kakiti tabasi kowe, tabasi be nise, hawa ka kawematamonaka.",faya	to-	ka	-make	tabasi	tabasi	ka-	iti	tabasi	kowe	tabasi	bee	na	-rise	hawa	kaa	ka-	-waha	-himata	-mona	-ka,so	away-	go	-following	makeshift_basket(F)	makeshift_basket(F)	COMIT-	take_out.M	makeshift_basket(F)	weave.M	makeshift_basket(F)	put_down	AUX	-down.M	palm.sp(F)	chop	COMIT-	-change	-FP.N.M	-REP.M	-DECL.M,He went. He got palm leaves for a basket. He wove the basket. He put down leaves inside the basket. Then he cut down the hawa palm.,,WORD_ALIGNED
a5,"Hawa ka kane, wabori kamaki moni himitamakimatamonaha.",hawa	kaa	ka-	ne	wabori	ka	-maki	moni	hi-	mita	-maki	-himata	-mona	-ha,palm.sp(F)	chop	COMIT-	AUX.M	3SG.POSS.brother-in-law(M)	come	-following.M	sound	OC-	hear	-following	-FP.N.M	-REP.M	-DUP,"He chopped at the hawa palm. His brother-in-law came, and heard the sound of him.",,WORD_ALIGNED
a6,"Toko, toko, toko bari moni nemetemone ama.",bari	moni	na	-hemete	-mone	ama,ax	make_sound	AUX	-FP.N.F	-REP.F	SEC,"Toko, toko, toko, went the sound of the ax.",,WORD_ALIGNED
a7,"Aa, oko hawa i fora ona ama.",aa	o-	ka	hawa	ihi	fora	o-	na	ama,(expression_of_displeasure)	1SG.POSS-	POSS	palm.sp(F)	result_of.F	shoot_with_blowgun	1SG.S-	AUX.F	be,"""Oh no, that's my hawa palm where I kill birds that eat its fruits.""",,WORD_ALIGNED
a8,Oko hawa i fora ona ka kane awa.,o-	ka	hawa	ihi	fora	o-	na	kaa	ka-	ne	awa,1SG.POSS-	POSS	palm.sp(F)	result_of.F	shoot_with_blowgun	1SG.S-	AUX	chop	COMIT-	AUX.M	seem.M,"""He is cutting down the hawa palm where I kill birds that eat its fruits.""",,WORD_ALIGNED
a9,Maki tina.,maki	ti-	na,pay	2SG.S-	AUX,"""I will get revenge.""",,WORD_ALIGNED
a10,Okanawasimata.,o-	ka-	na-	wasi	-mata,1SG.S-	COMIT-	CAUS-	find	-short_time.IMP.M,"""I will put a spell on him.""",,WORD_ALIGNED
a11,"Faya tokome, tokome, yama toma nematamonaka.",faya	to-	ka	-me	to-	ka	-me	yama	toma	na	-himata	-mona	-ka,so	away-	go	-back.M	away-	go	-back.M	thing(F)	suck	AUX	-FP.N.M	-REP.M	-DECL.M,He went away. He prepared a shaman's stone.,,WORD_ALIGNED
a12,Yama toma ne wafe tamo torematamona.,yama	toma	ne	wafe	tamo	to-	-re	-himata	-mona,thing(F)	suck	AUX.M	cotton(F)	rub	CH-	-raised_surface	-FP.N.M	-REP.M,He prepared a magical stone. He put a spell on some cotton string.,,WORD_ALIGNED
a13,Wafe tamo tore yama wafe kahohimatamonane wabori hawine ya.,wafe	tamo	to-	-re	yama	wafe	kaho	-himata	-mona	-ne	wabori	hawine	ya,cotton(F)	rub	CH-	-raised_surface	thing(F)	cotton(F)	tie	-FP.N.M	-REP.M	-BKG.M	3SG.POSS.brother-in-law(M)	trail.M	ADJU,He put a spell on the cotton string. He extended the string across the path of his brother-in-law.,,WORD_ALIGNED
a14,Noki hinematamonane.,noki	hi-	na	-himata	-mona	-ne,wait_for	OC-	AUX	-FP.N.M	-REP.M	-BKG.M,He waited for him.,,WORD_ALIGNED
a15,"Hawa tokasona te ne, hawa te nematamonaka.",hawa	to-	ka-	sona	tee	ne	hawa	tee	na	-himata	-mona	-ka,palm.sp(F)	CH-	COMIT-	fall.F	put_inside	AUX.M	palm.sp(F)	put_inside	AUX	-FP.N.M	-REP.M	-DECL.M,He put the hawa fruits that had fallen with the palm into the basket.,,WORD_ALIGNED
a16,"Hawa te ne, yana tonematamonaha.",hawa	tee	ne	yana	to-	na	-himata	-mona	-ha,palm.sp(F)	put_inside	AUX.M	start	CH-	AUX	-FP.N.M	-REP.M	-DUP,He put the hawa fruits in the basket. He was ready.,,WORD_ALIGNED
a17,Yama honarikani ati nematamonaka.,yama	hona	-ri	-kani	ati	na	-himata	-mona	-ka,thing(F)	have_something	-NEG.F	-CNTRFACT	say	AUX	-FP.N.M	-REP.M	-DECL.M,He thought there wasn't anyone there.,,WORD_ALIGNED
a18,Waiyematamonaka wabori.,wahiya	-himata	-mona	-ka	wabori,hide	-FP.N.M	-REP.M	-DECL.M	3SG.POSS.brother-in-law(M),His brother-in-law was hiding.,,WORD_ALIGNED
a19,Kamematamona hawa weye ni.,ka	-ma	-himata	-mona	hawa	weye	ni,come	-back	-FP.N.M	-REP.M	palm.sp(F)	carry	AUX.NFIN,He came back carrying the hawa fruits on his back.,,WORD_ALIGNED
a20,"Kame yama yama kaohani, towakitikosamematamonahane.",ka	-me	yama	yama	kaho	-hani	to-	ka-	iti	-kosa	-ma	-himata	-mona	-ha	-ne,come	-back.M	thing(F)	thing(F)	be_tied	-IP.N.F	away-	COMIT-	pick_up	-middle	-back	-FP.N.M	-REP.M	-DUP	-BKG.M,He came back. He hit against the line that was extended.,,WORD_ALIGNED
a21,Yebe yama nemetemone ahi.,yebe	yama	na	-hemete	-mone	ahi,(sound_of_shocking)	make	AUX	-FP.N.F	-REP.F	then,"Yebe, went the thing.",,WORD_ALIGNED
a22,Bao nisematamona ahi.,bao	na	-risa	-himata	-mona	ahi,come_down	AUX	-down	-FP.N.M	-REP.M	then,He fell down.,,WORD_ALIGNED
a23,"Faya, ahabarisematamonahane.",faya	ahaba	-risa	-himata	-mona	-ha	-ne,so	die	-down	-FP.N.M	-REP.M	-DUP	-BKG.M,He passed out.,,WORD_ALIGNED
a24,"Faya wabori tokome, kamakiama ne hiwasimakimatamonane, homahari.",faya	wabori	to-	ka	-me	ka	-maki	-hama	ne	hi-	wasi	-maki	-himata	-mona	-ne	homa	-haari,so	3SG.POSS.brother-in-law(M)	away-	go	-back.M	come	-following	-pretending	AUX.M	OC-	find	-following	-FP.N.M	-REP.M	-BKG.M	lie_on_ground	-IP.E.M,His brother-in-law pretended to come. He came upon him as he was lying there.,,WORD_ALIGNED
a25,"Home wabori hiwasimaki, Aa, oko wabo me kanawasihani me awine.",home	wabori	hi-	wasi	-maki	aa	o-	ka	wabo	me	ka-	na-	wasi	-hani	me	awine,lie_on_ground.M	3SG.POSS.brother-in-law(M)	OC-	find	-following.M	(expression_of_surprise)	1SG.POSS-	POSS	brother-in-law(M)	3PL.S	COMIT-	CAUS-	get_caught	-IP.N.F	3PL.S	seem.F,"He lay there. His brother-in-law came upon him. ""Ah, I guess someone cast a spell on my brother-in-law.""",,WORD_ALIGNED
a26,Oko wabo me ai nani me awinekira.,o-	ka	wabo	me	ahi	na	-hani	me	awine	-kira,1SG.POSS-	POSS	brother-in-law(M)	3PL.S	mess_with	AUX	-IP.N.F	3PL.S	seem.F	-(?).F,"""They have messed with my brother-in-law.""",,WORD_ALIGNED
a27,Faya sina hisi ne wabori toma ne yama kayabematamonahane.,faya	sina	hisi	ne	wabori	toma	ne	yama	ka-	yaba	-himata	-mona	-ha	-ne,so	snuff(F)	sniff	AUX.M	3SG.POSS.brother-in-law(M)	suck	AUX.M	thing(F)	COMIT-	take_out	-FP.N.M	-REP.M	-DUP	-BKG.M,He took snuff. He sucked on his brother-in-law to cure him. He took the shaman's stone out of him.,,WORD_ALIGNED
a28,"Yama kayabe, yama kayabematamonahane.",yama	ka-	yabe	yama	ka-	yaba	-himata	-mona	-ha	-ne,thing(F)	COMIT-	take_out.M	thing(F)	COMIT-	take_out	-FP.N.M	-REP.M	-DUP	-BKG.M,He took the shaman's stone out of him.,,WORD_ALIGNED
a29,"Yama kayabe, faya itamisame, Hoo, hinamati owa kanawasi owa awine o.",yama	ka-	yabe	faya	ita	-misa	-me	hoo	hinamati	owa	ka-	na-	wasi	owa	awine	o,thing(F)	COMIT-	take_out.M	so	sit	-up	-back.M	whew	someone(M)	1SG.O	COMIT-	CAUS-	get_caught.M	1SG.O	seem.F	1SG.S,"He took the shaman's stone out of him. He sat up. ""Whew, someone put a spell on me.""",,WORD_ALIGNED
a30,Tiwa me ai na tiwa awine tini.,tiwa	me	ahi	na	tiwa	awine	ti-	ni,2SG.O	3PL.S	mess_with	AUX.F	2SG.O	seem.F	2SG.O-	BKG.F,"""Someone messed with you.""",,WORD_ALIGNED
a31,E awari.,ee	awa	-ri,1IN.S	see	-NEG.NOM.F,"""I wonder who it was.""",,WORD_ALIGNED
a32,Tiwa okomake tiwa owasimakiara o.,tiwa	o-	ka	-make	tiwa	o-	wasi	-maki	-hara	o,2SG.O	1SG.S-	come	-following	2SG.O	1SG.S-	find	-following	-IP.E.F	1SG.S,"""I came and came upon you.""",,WORD_ALIGNED
a33,Tiwamisama.,ti-	waa	-misa	-ma,2SG.S-	stand	-up	-back,"""Stand up.""",,WORD_ALIGNED
a34,"Hinawamisame mano hiti hinawamisame, Hoo himata ebe tinaba ama tiri?",hi-	na-	waa	-misa	-me	mano	hi-	iti	hi-	na-	waa	-misa	-me	hoo	himata	ebe	ti-	na	-haba	ama	ti-	ri,OC-	CAUS-	stand	-up	-back.M	arm.M	OC-	pick_up.M	OC-	CAUS-	stand	-up	-back.M	whew	what?	purpose	2SG.S-	AUX	-FUT.F	SEC	2SG.S-	CQ.F,"He helped him to his feet. He grabbed his arm, and helped him to his feet. ""Whew, what were you doing?""",,WORD_ALIGNED
a35,Yama yete onabone o.,yama	yete	o-	na	-habone	o,thing(F)	hunt	1SG.S-	AUX	-INT.F	1SG.S,"""I am going hunting.""",,WORD_ALIGNED
a36,Ee tikiya.,ee	ti-	ka	-yahi,yes	2SG.S-	go	-DIST.IMP.F,"""Right, go ahead.""",,WORD_ALIGNED
a37,Tikiyahi.,ti-	ka	-yahi,2SG.S-	go	-DIST.IMP.F,"""Go ahead.""",,WORD_ALIGNED
a38,Tikamiya.,ti-	ka	-ma	-yahi,2SG.S-	go	-back	-DIST.IMP.F,"""You go home.""",,WORD_ALIGNED
a39,Tekamiya.,ti-	ka-	ka	-ma	-yahi,2SG.S-	COMIT-	go	-back	-DIST.IMP.F,"""Go home sick.""",,WORD_ALIGNED
