ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,Hiyama yawa me hiri na me ota tao namaro.,hiyama	yawa	me	hiri	na	me	otaa	tao	na	-hamaro,white-lipped peccary(M)	anger(F)	3PL.S	make	AUX.F	3PL.O	1EX.S	shoot	AUX	-FP.E.F,"The white-lipped peccaries were fierce, and we killed them with rifles.",,WORD_ALIGNED
a2,"Me, me me hiyaramaro me ama.",me	me	me	hiyara	-hamaro	me	ama,3PL	3PL.O	3PL.S	tell	-FP.E.F	3PL.S	SEC,They were telling about them.,,WORD_ALIGNED
a3,"Awa hiri ni moni nima ahi, hiyama me ati namaro mati.",awa	hiri	ni	moni	ni	-ma	ahi	hiyama	me	ati	na	-hamaro	mati,tree(F)	catch_fire	AUX.NFIN	sound	AUX.NOM	-like	this	white-lipped peccary(M)	3PL.POSS	voice	AUX	-FP.E.F	3PL.POSS,Their voices were like a garden burning.,,WORD_ALIGNED
a4,"Yama, me makitiri ya me taba me tao onamaro ahi owatino.",yama	me	makitiri	ya	me	taba	me	tao	o-	na	-hamaro	ahi	owatino,thing(F)	3PL	man	ADJU	3PL.S	be_together.F	3PL.O	shoot	1SG.S-	AUX	-FP.E.F	then	exclamation,"I was with the men, and I shot some of them.",,WORD_ALIGNED
a5,Sawi nofani tao okana me kabamaro me ama hiyama.,sawi	nofa	-hani	tao	o-	ka-	na	me	kaba	-hamaro	me	ama	hiyama,be_present	recently	-IP.N.F	shoot	1SG.S-	COMIT-	AUX.F	3PL.S	eat	-FP.E.F	3PL.S	SEC	white-lipped peccary(M),"There was a female peccary that I shot, and they ate it.",,WORD_ALIGNED
a6,"Bani me kanaha me iso onahatemaro ama oni, owahariha owa.",bani	me	kanaha	me	iso	o-	nahate	-hamaro	ama	o-	ni	o-	ohariha	owa,animal(M)	3PL.S	be_heavy.F	3PL.O	carry_off	1SG.S-	daytime	-FP.E.F	SEC	1SG.S-	BKG.F	1SG.S-	be_alone.F	1SG.S,"I carried heavy animals all day long, by myself.",,WORD_ALIGNED
a7,"Hiyama me so onihakosa me bosa okatasa me onakamakimina me, hiyama me kamani me kobo onamakitasimaro ama.",hiyama	me	soo	o-	niha-	-kosa	me	bosa	o-	ka-	-tasa	me	o-	na-	ka	-maki	-mina	me	hiyama	me	ka	-ma	-hani	me	kobo	o-	na	-maki	-tasi	-maro	ama,white-lipped peccary(M)	3PL.O	lie	1SG.S-	CAUS-	-middle.F	3PL.O	get_up_early	1SG.S-	COMIT-	-again.F	3PL.O	1SG.S-	CAUS-	go	-following	-morning.F	3PL.O	white-lipped peccary(M)	3PL.S	come	-back	-IP.N.F	3PL.O	meet	1SG.S-	AUX	-following	again.NOM.F	-FP.E.F	SEC,"I left the peccaries in the forest. I got up early because of them, and went after them the next morning. The peccaries came back, and I met up with them again.",,WORD_ALIGNED
a8,Me tao okanamakikimatasamaroke faro.,me	tao	o-	ka-	na	-maki	-kima	-tasa	-hamaro	-ke	faaro,3PL.O	shoot	1SG.S-	COMIT-	AUX	-following	-two	-again	-FP.E.F	-DECL.F	that.F,Then I shot two more peccaries.,,WORD_ALIGNED
a9,Yome hiyama me mowa ne yome yama kabani kari.,yomee	hiyama	me	mowa	ne	yomee	yama_kabani	kari,jaguar(M)	white-lipped peccary(M)	3PL.O	fight	AUX.M	jaguar(M)	forest(F)	which.M,There was a jaguar that was after the peccaries.,,WORD_ALIGNED
a10,"Yome hiyama me mowa hineno mowa neno, ehene ati yofinemari amane.",yomee	hiyama	me	mowa	hi-	na	-hino	mowa	na	-hino	ehene	ati	yofina	-himari	ama	-ne,jaguar(M)	white-lipped peccary(M)	3PL.O	fight	OC-	AUX	-IP.N.M	fight	AUX	-IP.N.M	result_of.M	voice	cause_fear	-FP.E.M	SEC	-BKG.M,"When the jaguar was after the peccaries, their sound was fearsome.",,WORD_ALIGNED
a11,Yome ene ati ama?,yomee	ehene	ati	ama,jaguar(M)	result_of.M	voice	be,"""Is that the sound of peccaries that have a jaguar after them?""","The NP ehene ati in this sentence and the previous, and ihi ati in the following sentence, are examples of the ""impersonal construction"" discussed in Vogel (2021). The full NP in this sentence is yome ene ati, and it consists of a masculine noun followed by two inalienably possessed nouns. Yome is the possessor of ene, and yome ene is the possessor of ati. But ati actually refers to the voices of the peccaries. The reason is that ehene means 'the one/ones affected by' the possessor, the jaguar. That is, the NP means the voices of the ones affected by the jaguar, i.e. the peccaries. In (12) yama is used instead of yome to refer to the jaguar, and since yama is feminine, the feminine ihi is used instead of the masculine ehene; but the meaning is the same.",WORD_ALIGNED
a12,Yama ihi ati amake.,yama	ihi	ati	ama	-ke,thing(F)	result_of.F	voice	be	-DECL.F,"""It is the sound of peccaries that have a jaguar after them.""",,WORD_ALIGNED
a13,"Tera te kakatoma, hiyama me te tonakabone te Noko Wene.",tera	tee	ka-	katoma	hiyama	me	tee	to-	na-	ka	-habone	tee	Noko_Wene,2PL.O	2PL.S	COMIT-	look_at	white-lipped peccary(M)	3PL.O	2PL.S	away-	CAUS-	go	-INT.F	2PL.S	Noko_Wene(M),"""You be careful when you are going after the peccaries, Noko Wene.""",,WORD_ALIGNED
a14,Hiyama me ota tonakamatibe.,hiyama	me	otaa	to-	na-	ka	-mata	-be,white-lipped peccary(M)	3PL.O	1EX.S	away-	CAUS-	go	-short_time	-IMMED.F,"""We are going after the peccaries.""",,WORD_ALIGNED
a15,"Me, me ati wawamisamaroke ahi.",me	me	ati	waa	-waha	-misa	-hamaro	-ke	ahi,3PL	3PL.POSS	voice	be_located	-change	-up	-FP.E.F	-DECL.F	then,They were making a lot of noise.,,WORD_ALIGNED
a16,"Hiyama me, ati ita me Noko Wene me me tonaka me ota noki na me, moni yana tonemarine.",hiyama	me	ati	ita	me	Noko_Wene	me	me	to-	na-	ka	me	otaa	noki	na	me	moni	yana	to-	na	-himari	-ne,white-lipped peccary(M)	3PL.POSS	voice	exist.F	3PL.POSS	Noko_Wene(M)	3PL.O	3PL.S	away-	CAUS-	go.F	3PL.O	1EX.S	wait_for	AUX.F	3PL.O	sound	start	CH-	AUX	-FP.E.M	-BKG.M,"The voices of the peccaries could be heard. Noko Wene and the others went after them, and we waited for them. The noise of him could be heard.",,WORD_ALIGNED
a17,Teeeeei rifi moni tonakosamaroke ahi.,rifi	moni	to-	na	-kosa	-hamaro	-ke	ahi,rifle(F)	make_sound	CH-	AUX	-middle	-FP.E.F	-DECL.F	then,Teei went the sound of a rifle.,,WORD_ALIGNED
a18,Yee Noko Wene ati nemari amaka ahi.,yee	Noko_Wene	ati	na	-himari	ama	-ka	ahi,yee	Noko_Wene(M)	say	AUX	-FP.E.M	SEC	-DECL.M	then,"""Yee,"" Noko Wene said.",,WORD_ALIGNED
a19,Noko Wene yeye ba nemari ama ahi.,Noko_Wene	ye-	yee	ba	na	-himari	ama	ahi,Noko_Wene(M)	DUP-	yell	without_stopping	AUX	-FP.E.M	SEC	then,Noko Wene yelled many times.,,WORD_ALIGNED
a20,Hiyama me kana ni ya kana ni tabemataka.,hiyama	me	kana	ni	ya	kana	ni	taba	-himata	-ka,white-lipped peccary(M)	3PL.S	run	AUX.NOM.F	ADJU	run	AUX.NFIN	be_together	-FP.N.M	-DECL.M,It was running with the peccaries as they ran.,,WORD_ALIGNED
a21,Sawimataka hiyama me ni ya.,sawi	-himata	-ka	hiyama	me	ni	ya,be_present	-FP.N.M	-DECL.M	white-lipped peccary(M)	3PL	to	ADJU,It was with the peccaries.,,WORD_ALIGNED
a22,"Tao okanena fiya onamakeno Tatiwi onowati kana ni yoto, yome tao kanemari amaka.",tao	o-	ka-	na	-hina	fiya	o-	na	-make	-hino	Tatiwi	o-	nowati	kana	ni	yoto	yomee	tao	ka-	na	-himari	ama	-ka,shoot	1SG.S-	COMIT-	AUX	-IRR.M	pass	1SG.S-	AUX	-following	-IP.N.M	Tatiwi(M)	1SG.POSS-	behind	run	AUX.NFIN	follow.M	jaguar(M)	shoot	COMIT-	AUX	-FP.E.M	SEC	-DECL.M,"I could have shot it, but I went past it. Tatiwi was running behind me, and he shot the jaguar.",,WORD_ALIGNED
a23,Hiyama tao kana nakani onemari amane.,hiyama	tao	ka-	na	na	-kani	o-	na	-himari	ama	-ne,white-lipped peccary(M)	shoot	COMIT-	AUX.CONT.M	AUX.M	-CNTRFACT	1SG.S-	say	-FP.E.M	SEC	-BKG.M,I thought he had shot a peccary.,,WORD_ALIGNED
a24,Oko kana ni tokomake hiyama tao okanamakimaro amake ahi.,o-	ka	kana	ni	to-	ka	-make	hiyama	tao	o-	ka-	na	-maki	-maro	ama	-ke	ahi,1SG.POSS-	POSS	run	AUX.NFIN	away-	go	-following	white-lipped peccary(M)	shoot	1SG.S-	COMIT-	AUX	-following.NOM	-FP.E.F	be	-DECL.F	then,"I went running, and I shot a peccary.",,WORD_ALIGNED
a25,Maneo Rowi tao hikana hinemarika ahi.,Maneo_Rowi	tao	hi-	ka-	na	hi-	na	-himari	-ka	ahi,Maneo_Rowi(M)	shoot	OC-	COMIT-	AUX.LIST	OC-	AUX	-FP.E.M	-DECL.M	then,"Maneo Rowi shot one, too.",,WORD_ALIGNED
a26,"Hiyama me ota tao na me ota iso na, kamemarika yome tao kanenoho.",hiyama	me	otaa	tao	na	me	otaa	iso	na	ka	-ma	-himari	-ka	yomee	tao	ka-	na	-hino	-ho,white-lipped peccary(M)	3PL.O	1EX.S	shoot	AUX.F	3PL.O	1EX.S	carry_off	AUX.F	come	-back	-FP.E.M	-DECL.M	jaguar(M)	shoot	COMIT-	AUX	-IP.N.M	-DUP,"We were carrying the peccaries that we had killed to a gathering point, and he came back after shooting the jaguar.",,WORD_ALIGNED
a27,Efe Efe.,Efe	Efe,Efe(M)	Efe(M),"""Efe, Efe.""",,WORD_ALIGNED
