ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,Ha me awabisaremete awaremata.,haa	me	awa	-bisa	-ra	-hemete	awa	-ra	-himata,DEM	3PL.S	be_seen	-also	-NEG	-FP.N.F	be_seen	-NEG	-FP.N.M,No one saw those people. They didn't see him.,,WORD_ALIGNED
a2,Tamine ota mimita toabisemari amaka ahi Maiko.,tamine	otaa	mi-	mita	to-	ha	-bisa	-himari	ama	-ka	ahi	Maiko,news_about	1EX.S	DUP-	hear	CH-	AUX	-also	-FP.E.M	SEC	-DECL.M	then	Maiko(M),"We used to hear the stories about him, Maiko.",,WORD_ALIGNED
a3,Maka mera nanabi toematamonaha inawa.,maka	mera	na-	naahabiha	to-	ha	-himata	-mona	-ha	inawa,monster(M)	3PL.O	DUP-	kill	CH-	AUX	-FP.N.M	-REP.M	-DUP	shaman(M),"He killed maka monsters, he was a shaman.",,WORD_ALIGNED
a4,"Maiko, Maiko yara me aa Maiko maka mera nanabi toematamona yama nakora kihamako.",Maiko	Maiko	yara	me	aa	Maiko	maka	mera	na-	naahabiha	to-	ha	-himata	-mona	yama_nakora	kiha	-mako,Maiko(M)	Maiko(M)	Brazilian	3PL	(pause)	Maiko(M)	monster(M)	3PL.O	DUP-	kill	CH-	AUX	-FP.N.M	-REP.M	shaman's_stone(F)	have	-for_this_reason.M,"Maiko killed monsters, because he had a shaman's stone.",,WORD_ALIGNED
a5,"Toke, toke fa koro nebonaha toke, maka waifino towasiwitibanoho.",to-	ke	to-	ke	faha	koro	na	-hibona	-ha	to-	ke	maka	waa	-fi	-hino	to-	wasi	-witi	-hiba	-no	-ho,away-	go.M	away-	go.M	water(F)	throw_something_on	AUX	-INT.M	-DUP	away-	go.M	monster(M)	stand	-water	-IP.N.M	away-	find	-out	-FUT.M	-IP.N.M	-DUP,"He went into the forest to fish. He went into the forest, and he came upon a monster standing in the shallow water.",,WORD_ALIGNED
a6,"Maka waifino towasiwiti, yama waifimetemone ama fa koho naro.",maka	waa	-fi	-hino	to-	wasi	-witi	yama	waa	-fi	-mete	-mone	ama	faha	koho	na	-haaro,monster(M)	stand	-water	-IP.N.M	away-	find	-out.M	monster(F)	stand	-water.NOM	-FP.N.F	-REP.F	be	water(F)	hit	AUX	-IP.E.F,He came upon a monster standing in the water. The monster was standing in the water hitting a reed on the surface of the water.,,WORD_ALIGNED
a7,"Aa, oko fa koro onabone koho ne awa.",aa	o-	ka	faha	koro	o-	na	-habone	koho	ne	awa,(expression_of_surprise)	1SG.POSS-	POSS	water(F)	throw_something_on	1SG.S-	AUX	-INT.F	hit	AUX.M	seem.M,"""Huh, it is hitting a reed on my water that I was going to fish in.""",,WORD_ALIGNED
a8,Ota mata.,o-	ita	mata,1SG.S-	pierce	for_now,"""I'm going to spear it.""",,WORD_ALIGNED
a9,"Faya hiwa hiwa wati kane sina hisi nake tokakane ahi, maka fa koho ne wahi ni ya.",faya	hiwa	hiwa	wati	ka-	ne	sina	hisi	na	-ke	to-	ka	-kane	ahi	maka	faha	koho	ne	waahi	ni	ya,so	3SG.REFL.M	3SG.REFL.M	plan_against	COMIT-	AUX.M	snuff(F)	sniff	AUX	-coming	away-	go	-(?).M	there	monster(M)	water(F)	hit	AUX.M	stand.M	to	ADJU,"He decided what to do. He took snuff. Then he went to where the monster was standing, hitting on the water with a reed.",,WORD_ALIGNED
a10,"Koho hinaka fa moni nemetemonehe, Maiko Maiko kamabano ya.",koho	hinaka	faha	moni	na	-hemete	-mone	-he	Maiko	Maiko	ka	-ma	-ba	-no	ya,(sound_of_something_hitting)	3SG.POSS	water(F)	make_sound	AUX	-FP.N.F	-REP.F	-DUP	Maiko(M)	Maiko(M)	come	-back.NOM.M	-FUT	-IP.N.M	ADJU,"His water went, ""koho"". Then Maiko came.",,WORD_ALIGNED
a11,"Kere, kere ati nematamonane kere ati hiri nari.",kere	kere	ati	na	-himata	-mona	-ne	kere	ati	hiri	na	-haari,(call_of_kingfisher)	(call_of_kingfisher)	say	AUX	-FP.N.M	-REP.M	-BKG.M	kingfisher.sp(M)	voice	make	AUX	-IP.E.M,"""Kere, kere,"" he said, imitating the call of a kingfisher.",,WORD_ALIGNED
a12,Maka waifi rama faha ya.,maka	waa	-fi	rama	faha	ya,monster(M)	stand	-water.M	unusual	water(F)	ADJU,The monster was standing in the water.,,WORD_ALIGNED
a13,Maka tonokowiti rama maka aahi nematamonaha.,maka	to-	noko	-witi	rama	maka	a-	ahi	na	-himata	-mona	-ha,monster(M)	away-	point	-out.M	unusual	monster(M)	DUP-	work_on	AUX	-FP.N.M	-REP.M	-DUP,The monster had its back turned to him. He aimed at the monster.,,WORD_ALIGNED
a14,Tiihii maka moni tonematamona ahi.,tiihii	maka	moni	to-	na	-himata	-mona	ahi,(sound_of_hitting)	monster(M)	make_sound	CH-	AUX	-FP.N.M	-REP.M	then,"Tiihiiii, went the sound of the monster.",,WORD_ALIGNED
a15,Toooooo fa moni nemetemone maka moni ahi.,faha	moni	na	-hemete	-mone	maka	moni	ahi,water(F)	make_sound	AUX	-FP.N.F	-REP.F	monster(M)	sound	then,Toooooo went the sound of the water. It was the sound of the monster.,,WORD_ALIGNED
