ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Me ati yama wati kanamani afa memetemone me okominaro me amake ahi, Mayawari me bobi nemetemone mati.",me	ati	yama	wati	ka-	na	-ma	-hani	afa	me	-mete	-mone	me	o-	kamina	-haro	me	ama	-ke	ahi	Mayawari	me	bobi	na	-hemete	-mone	mati,3PL.POSS	voice	thing(F)	plan_against	COMIT-	AUX	-back	-IP.N.F	this.F	3PL	-FP.N.F	-REP.F	3PL.O	1SG.S-	tell	-RP.E.F	3PL.O	SEC	-DECL.F	then	Mayawari(M)	3PL.S	slit	AUX	-FP.N.F	-REP.F	3PL.S,"Those were the ones I told you about, the ones who planned to attack again, who cut up Mayawari.",,WORD_ALIGNED
a2,"Hoo, Mayawari ko karayawahebona, Mayawari.",hoo	Mayawari	koo	karayawaha	-hibona	Mayawari,whew	Mayawari(M)	tree.sp(F)	wait_at	-INT.M	Mayawari(M),"Mayawari was going to wait [for game] at a ko tree. ""Mayawari.""",,WORD_ALIGNED
a3,Hoo.,hoo,huh?,"""Huh?""",,WORD_ALIGNED
a4,Ko tikarayawibana?,koo	ti-	karayawi	-bana,tree.sp(F)	2SG.S-	wait_at.F	-FUT,"""Are you going to wait for game at the ko tree?""",,WORD_ALIGNED
a5,"Ee, ko okarayawabone okene.",ee	koo	o-	karayawaha	-habone	o-	ke	-ne,yes	tree.sp(F)	1SG.S-	wait_at	-INT.F	1SG.S-	DECL.F	-IRR.F,"""Yes, I am going to wait for game at the ko tree.""",,WORD_ALIGNED
a6,"Me atinihi ya me atinihi ya me me yobi hikana me, Mayawari ko karayawahebona yana tonematamona.",me	ati	-ni	-hi	ya	me	ati	-ni	-hi	ya	me	me	yobi	hi-	ka-	na	me	Mayawari	koo	karayawaha	-hibona	yana	to-	na	-himata	-mona,3PL.POSS	voice	-IP.N.F	-DUP	ADJU	3PL.POSS	voice	-IP.N.F	-DUP	ADJU	3PL.O	3PL.S	go_back_and_forth	OC-	COMIT-	AUX.F	3PL.O	Mayawari(M)	tree.sp(F)	wait_at	-INT.M	start	CH-	AUX	-FP.N.M	-REP.M,"They went out to find them, and this is what the Yimas wanted. Mayawari set out to wait for game at the ko tree.",,WORD_ALIGNED
a7,"Ayaki kame ayaki yana tone, biti fame biti ayaki wara tona hine, biti ayaki wara tona hinematamonaka.",ayaki	ka	-me	ayaki	yana	to-	ne	biti	fame	biti	ayaka	wara	to-	na	hi-	ne	biti	ayaka	wara	to-	na	hi-	na	-himata	-mona	-ka,sing.NFIN	come	-back.M	sing.NFIN	start	CH-	AUX.M	3SG.POSS.son(M)	be_with.M	3SG.POSS.son(M)	sing.NFIN	respond_to	CH-	AUX.LIST	OC-	AUX.M	3SG.POSS.son(M)	sing.NFIN	respond_to	CH-	AUX.LIST	OC-	AUX	-FP.N.M	-REP.M	-DECL.M,He came singing. He was with his son. His son sang with him.,,WORD_ALIGNED
a8,"Biti fame, biti, Ayaka wara tinahi.",biti	fame	biti	ayaka	wara	ti-	na	-hi,3SG.POSS.son(M)	be_with.M	3SG.POSS.son(M)	song(F)	respond_to	2SG.S-	AUX	-IMP.F,"He was with his son. ""Sing the song.""",,WORD_ALIGNED
a9,"Mayawari biti ayaki wara tona hine ayaki kame ko karayawahebona bai toke ya ayaka hiri ne, hikehike ya e noko fiya tokasamate, ayaka noko tonihamako.",Mayawari	biti	ayaka	wara	to-	na	hi-	ne	ayaka	ka	-me	koo	karayawaha	-hibona	bahi	to-	ke	ya	ayaka	hiri	ne	hike-	hike	ya	ee	noko	fiya	to-	ka-	-kosa	-ma	-tee	ayaka	noko	to-	niha-	-mako,Mayawari(M)	3SG.POSS.son(M)	sing.NFIN	respond_to	CH-	AUX.LIST	OC-	AUX.M	sing.NFIN	come	-back.M	tree.sp(F)	wait_at	-INT.M	sun(M)	away-	go.NOM.M	ADJU	song(F)	sing	AUX.M	DUP-	far	ADJU	1IN.POSS	eye	pass	away-	COMIT-	-middle	-back	-HAB	song(F)	attraction	CH-	CAUS-	-for_this_reason.M,"Mayawari's son sang with him. He came singing. He was going to wait for game at the ko tree, and he sang late in the afternoon. It's good to look at what is far ahead, but he was absorbed in the song.",,WORD_ALIGNED
a10,Boke hinemata awaka ahi.,boke	hi-	na	-himata	awa	-ka	ahi,threaten	OC-	AUX	-FP.N.M	seem.M	-DECL.M	then,He was probably aiming [his spear] at him.,,WORD_ALIGNED
